Date,Open,High,Low,Close,Adj Close,Volume
25/02/2013,398.55777,401.593018,392.690918,392.830017,392.830017,4637700
26/02/2013,394.931366,395.40329,389.665588,392.512085,392.512085,4433600
27/02/2013,394.832001,399.774841,392.998932,397.305908,397.305908,4078500
28/02/2013,397.961639,400.887604,397.92688,398.011322,398.011322,4561000
1/03/2013,396.322296,400.962128,395.502625,400.490204,400.490204,4379000
4/03/2013,400.048065,408.761414,399.899048,408.095734,408.095734,5587200
5/03/2013,411.786713,417.360474,411.77182,416.590485,416.590485,8140700
6/03/2013,417.797638,419.273041,411.727112,413.003815,413.003815,5783200
7/03/2013,414.335144,415.606873,412.109619,413.609863,413.609863,4132000
8/03/2013,414.553741,414.76236,409.859253,413.073364,413.073364,5861600
11/03/2013,413.157806,417.136932,413.063416,414.712708,414.712708,3210000
12/03/2013,412.670959,413.257172,409.173706,411.130981,411.130981,4042700
13/03/2013,411.275055,412.661041,408.498108,409.988434,409.988434,3303800
14/03/2013,410.822998,410.822998,406.054016,408.115601,408.115601,3323800
15/03/2013,406.605438,407.499603,404.042084,404.518982,404.518982,6239600
18/03/2013,399.899048,403.753967,398.145447,401.285034,401.285034,3700400
19/03/2013,402.998871,406.977997,400.619354,403.038635,403.038635,4223600
20/03/2013,405.775818,406.113617,403.098236,404.722656,404.722656,2946600
21/03/2013,403.023712,405.820526,402.30838,403.00882,403.00882,2974300
22/03/2013,404.737579,404.985962,402.204041,402.536896,402.536896,2995600
25/03/2013,403.580109,406.968079,400.803162,402.204041,402.204041,3446200
26/03/2013,404.121582,404.369965,401.285034,403.585083,403.585083,2399200
27/03/2013,400.733612,400.892578,398.075897,398.736603,398.736603,4354400
28/03/2013,399.397308,400.082855,394.086853,394.528961,394.528961,4605200
1/04/2013,394.93631,398.532928,394.062012,398.006348,398.006348,3638100
2/04/2013,399.670532,404.782288,399.402283,403.893066,403.893066,4109500
3/04/2013,404.101715,404.46933,397.748047,400.495178,400.495178,3499500
4/04/2013,399.526459,400.271606,393.093292,394.966125,394.966125,4926900
5/04/2013,390.490234,390.95224,385.691437,388.994965,388.994965,6912300
8/04/2013,386.858856,387.256256,381.717285,384.921448,384.921448,5700900
9/04/2013,385.244354,389.342712,384.057068,386.312408,386.312408,4342600
10/04/2013,388.930389,393.614929,385.492737,392.536926,392.536926,3982800
11/04/2013,393.878204,393.987488,389.496704,392.641235,392.641235,4083700
12/04/2013,393.436066,393.490723,388.935364,392.472351,392.472351,3294500
15/04/2013,390.435608,395.924896,385.999451,388.438568,388.438568,4938000
16/04/2013,390.75354,395.428131,389.427155,394.121613,394.121613,3506500
17/04/2013,390.833008,392.864807,386.53595,388.751556,388.751556,4100300
18/04/2013,390.137543,390.361084,378.17038,380.480347,380.480347,6688100
19/04/2013,382.094849,399.124084,380.654205,397.350616,397.350616,11681800
22/04/2013,397.713257,399.382416,384.995972,397.469849,397.469849,5804200
23/04/2013,397.911957,405.115112,397.594025,401.339661,401.339661,4614200
24/04/2013,401.444,406.357025,401.389343,404.096741,404.096741,3681900
25/04/2013,405.487701,405.596985,401.205536,401.935791,401.935791,4010200
26/04/2013,401.190643,401.260193,395.716248,398.120605,398.120605,5007600
29/04/2013,399.029694,408.691864,398.905518,406.883606,406.883606,4631500
30/04/2013,406.853821,411.145905,406.198059,409.620819,409.620819,4643300
1/05/2013,408.970032,409.695313,405.542328,407.564178,407.564178,2928800
2/05/2013,407.400269,414.578552,406.878632,412.124542,412.124542,4062700
3/05/2013,415.775787,420.663971,415.298889,420.127472,420.127472,5057800
6/05/2013,421.389282,428.14035,421.389282,427.991333,427.991333,4310300
7/05/2013,428.716614,429.143829,422.586487,425.845276,425.845276,3943400
8/05/2013,425.731018,434.116486,423.699249,433.99231,433.99231,4968600
